No DE ESTRATEGIA;AREAS INVOLUCRADAS;TIPO DE INDICADOR;DESCRIPCION DEL INDICADOR;INDICADOR;CALCULO DEL INDICADOR;ANALISIS;NOMBRE DE LA ESTRATEGIA;RESPONSABLE;;cumplimiento plan de desarrollo;cumplimiento seguimiento;
1;Subdireccion Cientifica;G;Días promedio de estancia;Número de días que los pacientes estuvieron hospitalizados antes de egresar / Número de pacientes que egresaron en el mismo período;3,06;Días promedio de estancia;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;3;;98%
1;Subdireccion Cientifica;G;Porcentaje de Ocupación;(Total de camas ocupadas (días) en un periodo determinado / Total de camas dispoinibles (días) en el periodo) * 100;94,4;Porcentaje de Ocupación;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;80;;85%
1;Subdireccion Cientifica;G;Evaluación de aplicación de guía de manejo específica para Hemorragia III trimestre o trastornos hipertensivos en gestantes.;Numero de historias clínicas auditadas, que hacen parte de la muestra representativa con aplicación estricta de la guía de manejo para diagnóstico de hemorragias del III trimestre o trastornos hipertensivos en la gestación en la vigencia objeto de evaluación / Número Total Historias Clínicas auditadas de la Muestra Representativa de pacientes con edad gestacional mayor de 27 semanas, atendidas en la ESE, con diagnóstico de hemorragia de III trimestre o trastornos hipertensivos en la gestación en la vigencia objeto de evaluación.;100;Evaluación de aplicación de guía de manejo específica para Hemorragia III trimestre o trastornos hipertensivos en gestantes.;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;80;;100%
1;PYM;G;Cumpliento programa PyM;(Total de actividades realizadas/ total de actividades planeadas)*100;67;Cumplliento programa PyM;Acreditación mediante servicios de calidad y eficiencia;JEFE DIANA;;90;;74%
2;Planeacio y Sistemas;G;Gestión de proyectos formulados;(Número de proyectos formulados / Número de proyectos planificados) *100;100;Gestión de proyectos formulados;Generar valor para nuestros grupos de interés;LUISA CORREA;;1;;100%
2;Planeacio y Sistemas;G;Proyectos de TICS;(Proyectos ejecutados de TICS/ Proyectos Planteados de TICS)*100;100;Proyectos de TICS;Generar valor para nuestros grupos de interés;ROBERTH - LUISA;;100;;100%
2;Mantenimiento;G;Cumplimiento del plan de mantenimiento de bienes muebles e inmuebles;(Total de actividades realizadas /Total de actividades programadas)*100;90;Cumplimiento del plan de mantenimiento de bienes muebles e inmuebles;Generar valor para nuestros grupos de interés;WILMAR, SEBASTINA, ;;100;;90%
2;Gerencia;G;Destinar mínimo el 5% del total de presupuesto al mantenimiento;(Recursos asignados a mantenimiento/Total de presupuesto)*100;5;Destinar mínimo el 5% del total de presupuesto al mantenimiento;Generar valor para nuestros grupos de interés;RODRIGO;;5;;100%
2;Gerencia;G;Adecuación, ampliación y lucimiento de instalaciones hospitalarias;(Proyectos ejecutados / Proyectos aprobados) *100;100;Adecuación, ampliación y lucimiento de instalaciones hospitalarias;Generar valor para nuestros grupos de interés;LUISA CORREA;;100;;100%
2;Gerencia;G;Cumplimiento al plan de adquisiciones de dotación e insumos para prestación de servicios;(Dotación e insumos adquiridos/Dotación e insumos planificados) *100;100;Cumplimiento al plan de adquisiciones de dotación e insumos para prestación de servicios;Generar valor para nuestros grupos de interés;OLGA MARTINEZ;;90;;100%
2;Ingeniero Biomédico;G;Cumplimiento del plan de mantenimiento de equipos biomédicos;(Total de actividades realizadas /Total de actividades programadas) *100;91;Cumplimiento del plan de mantenimiento de equipos biomédicos;Generar valor para nuestros grupos de interés;SEBASTIAN;;100;;91%
2;Sistemas;G;Cumplimiento del plan de mantenimiento de equipos tecnológicos;(Total de actividades realizadas /Total de actividades programadas)*100;90;Cumplimiento del plan de mantenimiento de equipos tecnológicos;Generar valor para nuestros grupos de interés;ROBERTH;;100;;90%
2;Planecion;G;Utilización de información de Registro Individual de prestaciones RIPS;Número de informes del análisis de la prestación de servicios de la ESE a la Junta Directiva con base en RIPS en la vigencia.;100;Utilización de información de Registro Individual de prestaciones RIPS;Generar valor para nuestros grupos de interés;LUISA CORREA;;4;;100%
2;Planecion;G;Oportunidad en la entrega de reporte de información en cumplimiento de la Circular Única expedida por la Superintendencia Nacional de Salud o la norma que la sustituya.;Cumplimiento oportuno de los informes, en términos de la normatividad vigente.;100;Oportunidad en la entrega de reporte de información en cumplimiento de la Circular Única expedida por la Superintendencia Nacional de Salud o la norma que la sustituya.;Generar valor para nuestros grupos de interés;ROSA;;100;;100%
2;Contabilidad;G;Oportunidad en el reporte de información en cumplimiento del Decreto 2193 de 2004 compilado en la Sección 2, Capítulo 8, Titulo 3, parte 5 del Libro 2 del Decreto 780 de 2016 - Decreto Único Reglamentario del sector Salud y Protección Social, o la norma que lo sustituya.;Cumplimiento oportuno de los informes en término de la normatividad vigente de la vigencia objeto de evaluación.;100;Oportunidad en el reporte de información en cumplimiento del Decreto 2193 de 2004 compilado en la Sección 2, Capítulo 8, Titulo 3, parte 5 del Libro 2 del Decreto 780 de 2016 - Decreto Único Reglamentario del sector Salud y Protección Social, o la norma que lo sustituya.;Generar valor para nuestros grupos de interés;ROSA;;100;;100%
2;Gerencia (Abogado);G;Responsabilidad civil extracontractual;Número de sentencias debidamente falladas contra el hospital / Número de afectaciones a la garantía de la responsabilidad civil;0;Responsabilidad civil extracontractual;Generar valor para nuestros grupos de interés;JULIAN HERNANDEZ;;100;;100%
2;Gerencia;G;Porcentaje de bienes muebles e inmuebles asegurados;(Número de bienes muebles e inmuebles asegurados/Total de bienes) *100;100;Porcentaje de bienes muebles e inmuebles asegurados;Generar valor para nuestros grupos de interés;OLGA MARTINEZ;;100;;100%
2;comunicaciones;G;Cumplimiento de plan de marketing;(Actividades realizadas/Actividades planeadas) * 100;95;Cumplimiento de plan de marketing;Generar valor para nuestros grupos de interés;JHONATAN;;80;;100%
2;Comunicaciones;G;Gestión de barreras de acceso;(barreras gestionadas / barreras identificadas) *100;100;Gestión de barreras de acceso;Generar valor para nuestros grupos de interés;JHONATAN;;80;;100%
2;SIAU;G;Nivel de satisfacción del cliente institucional;(Número total de clientes institucionales que se consideran satisfechos con la ESE/ número total de clientes institucionales encuestados) *100;90;Nivel de satisfacción del cliente institucional;Generar valor para nuestros grupos de interés;DON OSCAR;;90;;100%
2;Subdirección Científica;G;Cumplimiento programa de humanización;(Actividades realizadas / Actividades programadas) *100;100;Cumplimiento programa de humanización;Generar valor para nuestros grupos de interés;RENGIFO , SIAU;;80;;100%
2;SIAU;G;Gestión Oportuna de Quejas y Reclamos;(Nu?mero de quejas en las cuales se adoptan los correctivos de acuerdo a la normativa vigente / total de quejas recibidas en el periodo) x 100;97;Gestión Oportuna de Quejas y Reclamos;Generar valor para nuestros grupos de interés;ELIANA;;90;;100%
2;SIAU;G;Proporción de Satisfacción Global de los usuarios en la ESE; / Número de usuarios que respondieron la pregunta)*100;99;Proporción de Satisfacción Global de los usuarios en la ESE;Generar valor para nuestros grupos de interés;ELIANA;;90;;100%
2;SIAU;G;Proporción de usuarios que recomendaron los servicios de la ESE a un amigo o familiar; / Número de usuarios que respondieron la pregunta )*100;99;Proporción de usuarios que recomendaron los servicios de la ESE a un amigo o familiar;Generar valor para nuestros grupos de interés;ELIANA;;90;;100%
2;Planeacion;G;Proporción de implementación MIPG;(Número de dimensiones MIPG implementadas / Total de dimensiones MIPG) * 100;80;Proporción de implementación MIPG;Generar valor para nuestros grupos de interés;LUISA CORREA;;80;;100%
2;Planeacion;G;Porcentaje de cumplimiento del cronograma de implementación del Sistema de Gestión del Riesgo (SGR);(Número de actividades completadas/Número total de actividades programadas) *100;100;Porcentaje de cumplimiento del cronograma de implementación del Sistema de Gestión del Riesgo (SGR);Generar valor para nuestros grupos de interés;LUISA CORREA;;50;;100%
2;planeacion y Sistemas;G;Avance en la implementación del gobierno digital;(cumplimiento actividades de gestión gobierno digital/actividades de gestión de gobierno digital definidas en MIPG)*100;50;Avance en la implementación del gobierno digital;Generar valor para nuestros grupos de interés;ROBERTH;;85;;59%
2;planeacion y Sistemas;G;Seguridad Digital;(avance de seguridad digital / criterios de seguridad digital) * 100;50;Seguridad Digital;Generar valor para nuestros grupos de interés;ROBERTH;;80;;63%
2;Sistemas;G;Cumplimiento del plan de mantenimiento de los sistemas de información;(Total de actividades realizadas /Total de actividades programadas) *100;66,67;Cumplimiento del plan de mantenimiento de los sistemas de información;Generar valor para nuestros grupos de interés;ROBERTH;;80;;83%
2;Sistemas;G;Avance PETI;(Evaluación de los avances / Resultado esperado en la implementación de la nueva plataforma tecnológica)*100;50;Avance PETI;Generar valor para nuestros grupos de interés;ROBERTH;;80;;63%
3;Presupuesto;P;Resultado de Equilibrio presupuestal con recaudo;Valor de la ejecución de ingresos totales recaudados en la vigencia objeto de evaluación (incluye recaudo de CxC de vigencias anteriores)/ Valor de la ejecución de gastos comprometidos en la vigencia objeto de evaluación (incluye el valor comprometido de CxP de vigencias anteriores).;0,85;Resultado de Equilibrio presupuestal con recaudo;Sostenibilidad Financiera;RODRIGO;;0;;0
3;Presupuesto;P;Evolución del Gasto por Unidad de Valor Relativo producida.;(Gasto de Funcionamiento y Operación Comercial y prestación de servicios comprometidos en el año objeto de la evaluación/ Numero de UVR producidas en la Vigencia) / (Gasto de Funcionamiento y Operación Comercial y Prestación de Servicios comprometido en la Vigencia anterior en valores constantes del año objeto de evaluación/ número de UVR producidas en la vigencia anterior);92;Evolución del Gasto por Unidad de Valor Relativo producida.;Sostenibilidad Financiera;RODRIGO;;90;;100%
3;Contabilidad;P;Resultado de Equilibrio presupuestal con reconocimiento;(Obligaciones / Reconocimiento)*100;81;Resultado de Equilibrio presupuestal con reconocimiento;Sostenibilidad Financiera;RODRIGO;;20;;0%
3;Cartera;P;Cartera Conciliada;(Cartera Conciliada / Total de Cartera) *100;67;Cartera Conciliada;Sostenibilidad Financiera;JUAN DAVID;;60;;112%
3;Presupuesto;P;Gestión de presupuesto de gasto;Presupuesto ejecutado/Presupuesto aprobado;89;Gestión de presupuesto de gasto;Sostenibilidad Financiera;RODRIGO;;menor o igul q 1;;100%
3;Presupuesto;P;Gestión de presupuesto de ingreso;Presupuesto recaudado /Presupuesto aprobado;76;Gestión de presupuesto de ingreso;Sostenibilidad Financiera;RODRIGO;;85;;89%
3;Facturacion;F;Nivel de radicación de facturas;(Valor Radicado / Valor Facturado) *100;95;Nivel de radicación de facturas;Sostenibilidad Financiera;LINA ;;90;;100%
3;Contabilidad;F;Indicador de liquidez;Total Activo Corriente/Total Pasivo Corriente;1,69;Indicador de liquidez;Sostenibilidad Financiera;ROSA;;mayor o igual 1,5;;100%
3;Contabilidad;F;Capital de trabajo;Activos Corrientes - Pasivos Corrientes;1,03;Capital de trabajo;Sostenibilidad Financiera;ROSA;;mayor o igual 0;;100%
3;Contabilidad;F;Solvencia (Ratio de Endeudamiento);Pasivo Total / Patrimonio Neto;0,46;Solvencia (Ratio de Endeudamiento);Sostenibilidad Financiera;ROSA;;60 o menos;;100%
3;Glosas;G;Porcentaje de glosa definitiva;(Valor Glosado aceptado en el periodo/Valor Glosado en el periodo)*100;9;Porcentaje de glosa definitiva;Sostenibilidad Financiera;LINA ;;3;;33%
3;Cartera;G;Cartera corriente acumulada;(Recaudo cartera VAC / Radicado VAC) * 100;46;Cartera corriente acumulada;Sostenibilidad Financiera;JUAN DAVID;;50;;92%
3;Cartera;G;Cartera no corriente acumulada;(Recaudo cartera VAN / Total Cartera VAN) * 100;70;Cartera no corriente acumulada;Sostenibilidad Financiera;JUAN DAVID;;80;;88%
3;Gerencia;G;Monto de la deuda superior a 30 días por concepto de salarios del personal de planta y por concepto de contratación de servicios y variación del monto frente a la vigencia anterior.;Valor de la deuda superior a 30 días por concepto de salarios de personal de planta y por concepto de contratación de servicios con corte a 31 de diciembre dela vigencia objeto de evaluación. / (Valor de la Deuda superior a 30 días por concepto de salarios de personal de planta y por concepto de contratación de servicios,con corte a 31 de diciembre de la vigencia objeto de la evaluación)-(Valor de la deuda superior a 30 días por concepto de salarios de personal de planta y porconcepto de contratación de servicios con corte al 31 de diciembre de la vigencia anterior);1,11;Monto de la deuda superior a 30 días por concepto de salarios del personal de planta y por concepto de contratación de servicios y variación del monto frente a la vigencia anterior.;Sostenibilidad Financiera;ROSA;;menor o igual 0;;0%
3;Contabilidad;F;Cumplimiento en el pago de pasivos;Pasivos pagados / Total de pasivos a diciembte 31;3,88;Cumplimiento en el pago de pasivos;Sostenibilidad Financiera;TESORERIA;;60;;6%
3;Contabilidad;F;Margen de utilidad;(Costos totales al corte del periodo / Producción total al corte del periodo)*100;6;Margen de utilidad;Sostenibilidad Financiera;ROSA;;12;;0%
